ICRISAT Food Label,protein,fat,fibre,carbohydrate,energy_kcal,energy_kj,calcium,iron,betacarotene,caroten_total,thiamine,riboflavin,niacin,ascorbic_total,ext_source,pu_cal,pu_prot,pu_fat
Paddy (Local variety),78.09999847,5.5,37.40000153,771.6000366,3513.423096,14710,81.09999847,7.200000286,0,469,1.700000048,0.599999964,25.10000038,0,0,3460,75,5
Paddy (HYV),78.09999847,5.5,37.40000153,771.6000366,3513.423096,14710,81.09999847,7.200000286,0,469,1.700000048,0.599999964,25.10000038,0,0,3460,75,5
Rice (local variety),78.09999847,5.5,37.40000153,771.6000366,3513.423096,14710,81.09999847,7.200000286,0,469,1.700000048,0.599999964,25.10000038,0,0,3460,75,5
Rice (HYV variety),78.09999847,5.5,37.40000153,771.6000366,3513.423096,14710,81.09999847,7.200000286,0,469,1.700000048,0.599999964,25.10000038,0,0,3460,75,5
Wheat (Local variety),105.8000031,15,112.9499969,644.4499512,3208.894531,13435,351.5,40.34999847,28.5,2840,4.399999619,1.5,25.25,0,0,3410,121,17
Wheat (HYV),105.8000031,15,112.9499969,644.4499512,3208.894531,13435,351.5,40.34999847,28.5,2840,4.399999619,1.5,25.25,0,0,3410,121,17
Jowar Sorghum (Local variety),99.70000458,17.29999924,102.2000046,676.7999878,3339.06543,13980,276,39.5,82.90000153,2120,3.5,1.399999976,21,0,0,3490,104,19
Jowar Sorghum (HYV),99.70000458,17.29999924,102.2000046,676.7999878,3339.06543,13980,276,39.5,82.90000153,2120,3.5,1.399999976,21,0,0,3490,104,19
Bajra Pearl millet (Local variety),102.6999969,51.39999771,70.69999695,580.2666626,2987.166016,12506.66699,258.9333191,60.7666626,267.2666626,2440.633301,2.366666555,1.899999976,8.133333206,0,0,3032,97,42
Bajra Pearl millet (HYV),102.6999969,51.39999771,70.69999695,580.2666626,2987.166016,12506.66699,258.9333191,60.7666626,267.2666626,2440.633301,2.366666555,1.899999976,8.133333206,0,0,3032,97,42
Maize (Local variety),88,37.70000076,122.3999939,647.6999512,3339.06543,13980,89.09999847,24.89999962,1860,8930,3.300000191,0.900000036,26.90000153,0,0,3420,111,36
Maize (HYV),88,37.70000076,122.3999939,647.6999512,3339.06543,13980,89.09999847,24.89999962,1860,8930,3.300000191,0.900000036,26.90000153,0,0,3420,111,36
Other minor millets,101.3000031,38.90000153,77.19999695,655.5,3460.876953,14490,160.5999908,12.60000038,19.10000038,1200,2.599999905,0.5,12.89999962,0,0,2615,97,34
Ragi Finger millet,71.59999847,19.19999886,111.8000031,668.2000122,3205.312012,13420,3640,46.19999695,15.29999924,1540,3.700000048,1.700000048,13.40000057,0,0,3280,73,13
Other cereals,90.54062653,20.32187462,82.95937347,637.9500122,3135.32373,13126.97266,443.1343994,30.84375,222.454834,2294.478027,2.700000048,1.015625,18.390625,15.52499962,0,2615,97,34
Blackgram (Urad),187.7000122,51.10000229,252.1999969,395.6000061,2868.539063,12010,1500,67.80000305,1720,9990,3.700000048,2.399999857,21,0,0,3720,208,56
Bengalgram (Chenna) Chickpea,187.7000122,51.10000229,252.1999969,395.6000061,2868.539063,12010,1500,67.80000305,1720,9990,3.700000048,2.399999857,21,0,0,3720,208,56
Redgram dhal,187.7000122,51.10000229,252.1999969,395.6000061,2868.539063,12010,1500,67.80000305,1720,9990,3.700000048,2.399999857,21,0,0,3720,208,56
Blackgram dhal,187.7000122,51.10000229,252.1999969,395.6000061,2868.539063,12010,1500,67.80000305,1720,9990,3.700000048,2.399999857,21,0,0,3720,208,56
Bengalgram dhal,187.7000122,51.10000229,252.1999969,395.6000061,2868.539063,12010,1500,67.80000305,1720,9990,3.700000048,2.399999857,21,0,0,3720,208,56
Greengram (Mung),238.7999878,13.5,93.69999695,525.9000244,3255.469727,13630,431.3000183,39.29999924,1220,6190,3.5,1.199999928,18.39999962,0,0,3480,245,12
Cowpea,204.3000031,18.89999962,170.1000061,489.2999878,3030.954346,12690,751.0999756,50.90000153,657.0999756,9330,5.599999905,1.599999905,26.90000153,0,0,3150,197,11
Soybean,197.5,17.60000038,151.1999969,520.9000244,3083.500732,12910,1540,79,35.70000076,6220,4.5,0.900000036,18.70000076,0,0,3400,220,12
Other pulses,197.5,17.60000038,151.1999969,520.9000244,3083.500732,12910,1540,79,35.70000076,6220,4.5,0.900000036,18.70000076,0,0,3400,220,12
Other dhal,197.5,17.60000038,151.1999969,520.9000244,3083.500732,12910,1540,79,35.70000076,6220,4.5,0.900000036,18.70000076,0,0,3400,220,12
Milk,32.59999847,44.79999924,0,49.40000153,728.4799805,3050,1210,1.599999905,136.6999969,2000,0.299999982,1.100000024,0.799999952,20.10000038,0,1000,40,70
